product_id,customer_id,product_category,customer_segment,sales,discount,date
48,532,B,X,899.0,0.0099749503075662,2020-01-02
65,911,B,X,156.0,0.0162967709169145,2020-01-03
68,180,B,Y,695.0,0.0535410107566683,2020-01-04
68,375,B,Y,948.0,0.2594042145687301,2020-01-05
10,858,C,Y,716.0,0.2750965192525791,2020-01-06
84,387,B,Z,884.0,0.0312744861486107,2020-01-07
22,75,B,Y,523.0,0.0640709849685873,2020-01-08
37,567,C,Y,472.0,0.2365694087221379,2020-01-09
88,392,C,Y,595.0,0.0058716584615825,2020-01-10
71,709,B,X,351.0,0.1350787824352082,2020-01-11
89,135,B,Z,871.0,0.2422495941577033,2020-01-12
89,69,D,Z,584.0,0.2748900916841553,2020-01-13
13,553,D,Z,125.0,0.1823894969155053,2020-01-14
59,97,A,X,314.0,0.1539120472509594,2020-01-15
66,153,D,X,897.0,0.2174559144457626,2020-01-16
40,912,C,X,549.0,0.0208166717157778,2020-01-17
88,51,C,X,898.0,0.2144965228558167,2020-01-18
47,919,C,Y,698.0,0.117685375475033,2020-01-19
89,868,C,Y,134.0,0.2105318506638533,2020-01-20
82,336,C,X,844.0,0.1200831807344682,2020-01-21
38,983,A,Y,975.0,0.126583723971398,2020-01-22
26,495,A,Z,593.0,0.1516717882107928,2020-01-23
78,715,B,Y,880.0,0.0667603467456972,2020-01-24
73,179,D,Y,700.0,0.1384553469777027,2020-01-25
10,165,A,Y,102.0,0.2114199581715515,2020-01-26
21,147,D,Y,783.0,0.1914148560089961,2020-01-27
81,623,A,Z,574.0,0.212650261751827,2020-01-28
70,694,C,Z,640.0,0.2012157870953656,2020-01-29
80,385,A,Y,802.0,0.2976785862796169,2020-01-30
48,326,B,Y,328.0,0.141635420710339,2020-01-31
65,894,D,X,528.0,0.2124158529206335,2020-02-01
83,581,B,Y,238.0,0.1339309827086439,2020-02-02
89,169,D,Y,807.0,0.2845361749376276,2020-02-03
50,173,B,X,255.0,0.1691855842875446,2020-02-04
30,13,C,X,306.0,0.1925239497580577,2020-02-05
20,6,B,X,178.0,0.2814172073642669,2020-02-06
20,522,B,Y,903.0,0.0662714293432862,2020-02-07
